SOURCE_TARGET_NAME,PRODUCT,REPORT_CARD_TITLE,Intended ESP,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,ORDER,ORDER2
ANN_HEATWAVE_GOA,Annual_Heatwave_GOA_Model,Annual marine heatwave cumulative index over the central GOA,Alaska Sablefish,2019,2019,NA,NA,1,1,1,1
SPR_SST_EGOA,Spring_Temperature_Surface_EGOA_Satellite,Late spring (May-June) daily sea surface temperatures (SST) for the eastern GOA from the NOAA Coral Reef Watch Program,Alaska Sablefish,2020,2020,NA,NA,1,1,2,2
SPR_SST_SEBS,Spring_Temperature_Surface_SEBS_Satellite,Late spring (May-June) daily sea surface temperatures (SST) for the southeastern Bering Sea from the NOAA Coral Reef Watch Program,Alaska Sablefish,2020,2020,NA,NA,1,1,3,3
SUM_250M_TEMP_GOA,Summer_Temperature_250m_GOA_Survey,Summer temperature anomalies at 250 m isobath during the AFSC annual longline survey,Alaska Sablefish,2019,2019,NA,NA,-1,1,4,4
SPR_CHLORO_BIOM_EGOA,Spring_Chlorophylla_Biomass_EGOA_Satellite,Derived chlorophyll a concentration during spring seasonal peak (May) in the eastern GOA from the MODIS satellite,Alaska Sablefish,2019,2019,NA,NA,1,1,5,5
SPR_CHLORO_BIOM_SEBS_S,Spring_Chlorophylla_Biomass_SEBS_Satellite,Derived chlorophyll a concentration during spring seasonal peak (May) in the southeastern Bering Sea from the MODIS satellite,Alaska Sablefish,2019,2019,NA,NA,1,1,6,6
SPR_CHLORO_EGOA,Spring_Chlorophylla_Peak_EGOA_Satellite,Peak timing of the spring bloom averaged across individual ADF&G statistical areas in the eastern GOA region from the MODIS satellite ,Alaska Sablefish,2020,2020,NA,NA,-1,1,7,7
SPR_CHLORO_SEBS_S,Spring_Chlorophylla_Peak_SEBS_Satellite,Peak timing of the spring bloom averaged across individual ADF&G statistical areas in the southeastern Bering Sea from the MODIS satellite,Alaska Sablefish,2020,2020,NA,NA,-1,1,8,8
ANN_COPEPOD_EGOA,Annual_Copepod_Community_Size_EGOA_Survey,Abundance of copepod community size from the continuous plankton recorder (CPR) for the offshore eastern GOA,Alaska Sablefish,2020,2020,NA,NA,1,1,9,9
ANN_COPEPOD_WGOA,Annual_Copepod_Community_Size_WGOA_Survey,Abundance of copepod community size from the continuous plankton recorder (CPR) for the offshore western GOA,Alaska Sablefish,2020,2020,NA,NA,1,1,10,10
SUM_EUPH_ABUND_KOD,Summer_Euphausiid_Abundance_Kodiak_Survey,Summer euphausiid abundance for the Kodiak core survey area from the AFSC acoustic survey ,Alaska Sablefish,2019,2019,NA,NA,1,1,11,11
ANN_SABL_GROWTH_YOY,Annual_Sablefish_Growth_YOY_Middleton_Survey,Age-0 sablefish growth rate from auklet diets in Middleton Island ,Alaska Sablefish,2017,2017,NA,NA,1,1,12,12
SUM_SABL_CPUE_GOAAI,Summer_Sablefish_CPUE_Juvenile_Nearshore_GOAAI_Survey,Sablefish catch-per-unit-effort (CPUE) and lengths from the ADF&G large mesh bottom trawl survey of crab and groundfish,Alaska Sablefish,2017,2017,NA,NA,1,1,13,13
SUM_SABL_CPUE_JUV_GOA,Summer_Sablefish_CPUE_Juvenile_GOA_Survey,"Catch-per-unit-of-effort (CPUE) of juvenile sablefish (<400 mm, likely age-1) collected on summer AFSC bottom-trawl surveys",Alaska Sablefish,2019,2019,NA,NA,1,1,14,14
ANN_SABL_MEAN_AGE_FEM_ADULT,Annual_Sablefish_Mean_Age_Female_Adult_Model,Mean age of sablefish female spawning stock biomass from the most recent sablefish stock assessment model,Alaska Sablefish,2019,2019,NA,NA,1,1,15,15
