id,label,group
check_data,check_data,function
create_template,create_template,function
esp_cor_matrix,esp_cor_matrix,function
esp_hist,esp_hist,function
esp_metrics,esp_metrics,function
esp_overall_score,esp_overall_score,function
esp_stock_options,esp_stock_options,function
esp_traffic,esp_traffic,function
esp_traffic_tab,esp_traffic_tab,function
get_esp_data,get_esp_data,function
indicator_order,indicator_order,dataframe
join_order,join_order,function
label_facets,label_facets,function
list_indicators,list_indicators,function
metric_panel,metric_panel,dataframe
one_pager,one_pager,function
prep_ind_data,prep_ind_data,function
render_AKesp_book,render_AKesp_book,function
render_esp,render_esp,function
render_fig,render_fig,function
render_ref,render_ref,function
render_tab,render_tab,function
use_google_files,use_google_files,function
figure_spreadsheet,figure_spreadsheet,spreadsheet
references_spreadsheet,references_spreadsheet,spreadsheet
table_spreadsheet,table_spreadsheet,spreadsheet
full-esp-text-template,full-esp-text-template,word_document
partial-esp-text-template,partial-esp-text-template,word_document
template,template,word_document
esp-report-card-child,esp-report-card-child,Rmarkdown
esp-template,esp-template,Rmarkdown
figure-child,figure-child,Rmarkdown
table-child,table-child,Rmarkdown
book/,book/,folder
SOP,SOP,report
one_pager_pdf,one_pager_pdf,report
ESP_report,ESP_report,report
