Stock,Group,Region,Metric,Category,Use,Threshold Value High,Threshold Value Low,Reverse,Mean,Stdev,Max,Min,Value,Quality,Order1,Order2,Rank0,Flag,Rank
Sablefish,Roundfish,GOA,Commercial Value,Socioeconomic,No,1773862.26,339838.64,No,13744471.18,50904942.78,367726626,0,95013831,3,44,4,0.258381701,1,0.961
Sablefish,Roundfish,GOA,Fecundity,Ecosystem,Yes,1000,100000,Yes,571096.8333,910959.2328,3700000,4.5,700000,3,15,56,0.189188203,1,0.185
Sablefish,Roundfish,GOA,Maximum Length,Ecosystem,Yes,155,55,No,97.91666667,58.28052897,195,16,138,3,9,19,0.681564246,,0.78
Sablefish,Roundfish,GOA,Depth Range,Ecosystem,Yes,100,,Yes,406.2096774,393.8530614,2000,75,1000,4,12,61,0.480519481,1,0.076
Sablefish,Roundfish,GOA,Maximum Age,Ecosystem,Yes,25,10,No,44.24074074,38.06941782,157,2,94,3,7,13,0.593548387,1,0.844
Sablefish,Roundfish,GOA,Age at 1st Maturity,Ecosystem,Yes,5,2,No,6.517241379,4.789278872,19,1,2.5,3,4,58,0.083333333,,0.115
Sablefish,Roundfish,GOA,Habitat Dependence Index,Ecosystem,Yes,5,1,No,1.357142857,0.772918235,3,1,1,2,24,67,0,,0
Sablefish,Roundfish,GOA,Breeding Strategy Index,Ecosystem,Yes,4,0,No,2.35483871,2.158450979,8,0,0,3,16,64,0,,0
Sablefish,Roundfish,GOA,Other Stressors,Ecosystem,Yes,3.5,2.5,No,1.291935484,0.275382528,2.2,1,1.7,2,27,6,0.583333333,,0.924
Sablefish,Roundfish,GOA,Stock Size over Status,Ecosystem,No,3.5,2.5,No,1.25,0.585314097,3,1,2,3,35,15,0.5,,0.821
Sablefish,Roundfish,GOA,ELH Survival Settlement,Ecosystem,Yes,3.5,2.5,No,2.4375,0.232609421,2.7,2,2.7,2,21,23,1,,0.75
Sablefish,Roundfish,GOA,Habitat Specificity,Ecosystem,Yes,3.5,2.5,No,1.477419355,0.432082018,2.6,1,1.7,2,23,28,0.4375,,0.698
Sablefish,Roundfish,GOA,Prey Specificity,Ecosystem,Yes,3.5,2.5,No,1.561290323,0.504197086,2.8,1,1.3,3,25,33,0.166666667,,0.641
Sablefish,Roundfish,GOA,Population Growth Rate,Ecosystem,Yes,3.5,2.5,No,2.675,0.511998884,3.7,2.3,3,3,10,34,0.5,,0.625
Sablefish,Roundfish,GOA,Mean Trophic Level,Ecosystem,Yes,3.5,2.5,No,3.760483871,0.362723882,4.4,3.2,3.8,3,28,37,0.5,1,0.596
Sablefish,Roundfish,GOA,Dispersal ELH,Ecosystem,Yes,3.5,2.5,No,1.614516129,0.721302732,3.6,1,1.3,2,19,42,0.115384615,,0.528
Sablefish,Roundfish,GOA,OA Sensitivity,Ecosystem,Yes,3.5,2.5,No,1.869354839,0.537019312,2.8,1,1.7,2,26,46,0.388888889,,0.49
Sablefish,Roundfish,GOA,Adult Mobility,Ecosystem,Yes,3.5,2.5,No,1.651612903,0.538894416,2.6,1,1.4,4,22,52,0.25,,0.377
Sablefish,Roundfish,GOA,Temperature Sensitivity,Ecosystem,Yes,3.5,2.5,No,1.84375,0.551256681,3.2,1.55,1.55,4,13,63,0,,0
Sablefish,Roundfish,GOA,Spawning Cycle,Ecosystem,Yes,3.5,2.5,No,2.75,0.507092553,3.8,2.2,2.2,2,17,65,0,,0
Sablefish,Roundfish,GOA,Reproductive Strategy,Ecosystem,Yes,3.5,2.5,No,1.875,0.254950976,2.3,1.6,1.6,3,20,66,0,,0
Sablefish,Roundfish,GOA,Ecosystem Value Top-Down,Ecosystem,Yes,3,1.5,No,2.313559322,1.312730456,5,0,3,3,30,30,0.6,1,0.692
Sablefish,Roundfish,GOA,Ecosystem Value Bottom-Up,Ecosystem,Yes,3,1.5,No,2.449152542,1.425430713,5,1,2,3,29,48,0.25,,0.442
Sablefish,Roundfish,GOA,Geographic Concentration,Ecosystem,Yes,3,1,No,1.778846154,0.812967582,3,1,2,4,14,51,0.5,,0.4
Sablefish,Roundfish,GOA,Recruitment Variability,Ecosystem,Yes,0.9,0.3,No,0.626755339,0.257351262,1.05,0.332979127,1.05,3,1,2,1,1,0.965
Sablefish,Roundfish,GOA,Relative Fishing Mortality,Socioeconomic,No,0.9,0.25,No,0.319417968,0.228228829,0.900738634,0,0.68020791,4,43,5,0.755166798,,0.96
Sablefish,Roundfish,GOA,Commercial Importance,Socioeconomic,Yes,0.729513501,0.645556499,No,0.603585556,0.270171516,1,0,0.931383279,3,31,3,0.931383279,1,0.962
Sablefish,Roundfish,GOA,Relative Stock Abundance,Ecosystem,No,0.5,1.2,Yes,1.745167825,0.628635436,3.262385004,0.520664332,1.000011117,3,34,12,0.174834289,1,0.852
Sablefish,Roundfish,GOA,Natural Mortality,Ecosystem,Yes,0.5,0.2,No,0.196413793,0.195789274,1,0.03,0.1,3,2,53,0.072164948,,0.358
Sablefish,Roundfish,GOA,Growth Rate,Ecosystem,Yes,0.1,0.25,Yes,0.174834341,0.109642666,0.445,0.022,0.256,3,3,60,0.553191489,1,0.103
Sablefish,Roundfish,GOA,Spawning Aggregation,Ecosystem,No,,,No,2.695652174,0.702901946,3,1,NA,2,36,1,#VALUE!,,#VALUE!
Sablefish,Roundfish,GOA,Usual_Depth_Min,Ecosystem,No,,,,70.72580645,96.76677545,400,0,200,4,67,7,0.5,,0.923
Sablefish,Roundfish,GOA,Usual_Depth_Max,Ecosystem,No,,,,476.9354839,427.9366764,2000,100,1200,4,68,8,0.578947368,,0.923
Sablefish,Roundfish,GOA,Transformation Size,Ecosystem,No,,,,31.97857143,17.35764866,67.5,13.4,50,2,41,9,0.676524954,,0.916
Sablefish,Roundfish,GOA,Fishing_Rate_Relative_Natural_Mortality,Socioeconomic,No,,,,0.313625445,0.288537257,1.15,0,0.7,3,57,10,0.608695652,,0.862
Sablefish,Roundfish,GOA,Recreational Fishery Importance,Socioeconomic,No,,,No,0.239795918,0.530229863,2.25,0,1,2,47,11,0.444444444,,0.853
Sablefish,Roundfish,GOA,Length 50% Maturity,Ecosystem,Yes,,,No,45.52172727,27.98778625,130,13.5,65,3,8,14,0.442060086,,0.833
Sablefish,Roundfish,GOA,Fishing_Mortality (Z-M),Socioeconomic,No,,,,0.069519053,0.134024088,0.900738634,0,0.07,4,56,16,0.077713998,,0.803
Sablefish,Roundfish,GOA,Hatch Size,Ecosystem,No,,,,4.662,1.938848389,11.5,2,5.5,2,38,17,0.368421053,,0.783
Sablefish,Roundfish,GOA,Subsistence Fishery Importance,Socioeconomic,No,,,No,0.987179487,1.216591331,4,0,2,2,48,18,0.5,,0.781
Sablefish,Roundfish,GOA,Recreational Index,Socioeconomic,No,,,No,26021.22222,41188.18114,122501,7,30685,2,45,20,0.25044492,,0.777
Sablefish,Roundfish,GOA,Subsistence Index,Socioeconomic,No,,,No,1364.684925,2526.52813,10711.22072,5.599,1591.308938,2,46,21,0.148119369,,0.777
Sablefish,Roundfish,GOA,Constituent Demand,Socioeconomic,Yes,,,No,2.73,1.607412676,5,0,5,4,32,22,1,,0.772
Sablefish,Roundfish,GOA,Spawning Duration,Ecosystem,Yes,,,Yes,5.6,3.190026832,12,2,4,2,18,24,0.2,,0.726
Sablefish,Roundfish,GOA,Egg Diameter,Ecosystem,No,,,,1.677419355,0.831961408,4,0.8,1.995,2,37,25,0.3734375,,0.724
Sablefish,Roundfish,GOA,Feeding Larvae Size,Ecosystem,No,,,,18.73,10.43828462,41.5,8,19.5,2,39,26,0.343283582,,0.714
Sablefish,Roundfish,GOA,Max Weight,Ecosystem,No,,,,14.22736364,21.61082247,91,0.052,12,3,62,27,0.131371773,,0.71
Sablefish,Roundfish,GOA,Doubling_Time,Ecosystem,No,,,,9.738793103,3.639862672,14,2.9,14,3,59,29,1,,0.693
Sablefish,Roundfish,GOA,Catch,Socioeconomic,No,,,,40910.29243,182269.7611,1321581,0,10953,4,51,31,0.008287801,,0.674
Sablefish,Roundfish,GOA,Long_Min,Ecosystem,No,,,,134.75,34.67917475,180,45,141,4,65,32,0.711111111,,0.666
Sablefish,Roundfish,GOA,Mean Age,Ecosystem,Yes,,,No,12.71687016,7.367200393,31,2,15,3,6,35,0.448275862,,0.607
Sablefish,Roundfish,GOA,TAC,Socioeconomic,No,,,,52831.9375,191727.0498,1310000,100,13657,3,54,36,0.010349645,,0.604
Sablefish,Roundfish,GOA,Biomass,Ecosystem,No,,,,234537.875,518883.9756,3540000,5352,89957,3,49,38,0.023935905,,0.595
Sablefish,Roundfish,GOA,Best_Age,Ecosystem,No,,,,13.37765449,7.086950602,28,3,15,3,60,39,0.48,,0.591
Sablefish,Roundfish,GOA,ABC,Ecosystem,No,,,,73621.35417,239652.9225,1637000,453,13657,3,53,40,0.008068207,,0.558
Sablefish,Roundfish,GOA,Generation Time,Ecosystem,No,,,,20.33942857,13.18511013,56,8,17.2,3,58,41,0.191666667,,0.558
Sablefish,Roundfish,GOA,Common/Max Length,Ecosystem,No,,,,99.04484151,126.2037305,700,20,80,3,61,43,0.088235294,,0.522
Sablefish,Roundfish,GOA,B_MSY,Ecosystem,No,,,,180606.4286,370829.139,1984200,7198,89956,3,50,44,0.041860352,,0.518
Sablefish,Roundfish,GOA,OFL,Ecosystem,No,,,,115596.06,470480.8576,3330000,560,16128,3,52,45,0.004675861,,0.511
Sablefish,Roundfish,GOA,Total_Mortality,Ecosystem,No,,,,0.26672595,0.308989632,1.900738634,0.036,0.17,3,55,47,0.071859937,,0.49
Sablefish,Roundfish,GOA,Lat_Max,Ecosystem,No,,,,65.91935484,5.19867066,79,60,66,4,64,49,0.315789474,,0.442
Sablefish,Roundfish,GOA,Habitat Vulnerability Index,Ecosystem,No,,,No,0.693877551,0.683254517,2,0,1,2,42,50,0.5,,0.404
