Year,Annual_Heatwave_GOA,Summer_250m_Temperature_GOA_Slope,Spring_Surface_Temperature_EGOA,Spring_Surface_Temperature_SEBS,Spring_Peak_Chlorophyll_Concentration_EGOA,Spring_Peak_Chlorophyll_Concentration_SEBS,Spring_Peak_Bloom_Timing_EGOA,Spring_Peak_Bloom_Timing_SEBS,Copepod Community Size EGOA Oceanic,Copepod Community Size WGOA Oceanic,Summer_Euphausiid_Abundance_Kodiak,Sablefish_Growth_YOY_Middleton_Auklets,Summer_Sablefish_CPUE_Juvenile_WGOA_EAI_ADFG,Summer_Sablefish_CPUE_Juvenile_GOA_BTS_Survey,Sablefish_Spawner_Mean_Age,Sablefish_Spawner_Age_Evenness,Summer_Sablefish_Condition_Age_4_GOA_LL_Survey,Arrowtooth_Biomass_Assessment,Sablefish_Catch_Arrowtooth_Fishery,Summer_Sablefish_Condition_Adult_GOA_LL_Survey,Sablefish_CPUE_Longline_Fishery_GOA,Sablefish_CPUE_Pot_Fishery_EBS,Sablefish_Incidental_Catch_BSAI_Fisheries,Sablefish_Incidental_Catch_GOA_Fisheries,Sablefish_Condition_Adult_GOA_Fishery,Sablefish_Condition_Adult_BSAI_Fishery,Annual_Sablefish_Real_Exvessel_Value,Annual_Sablefish_Real_Exvessel_Price
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.69651072,0.871838581,NA,1216610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.93577929,0.881659578,NA,1211520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.951977,0.604737184,NA,1215610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.74604871,0.627513186,NA,1223200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.16603312,0.652444785,NA,1227650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.14623603,0.65759829,NA,1229490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,31.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14828081,0.682800983,NA,1234170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,88.2076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043496215,11.54782952,0.689407714,NA,1245340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,24.612,NA,7.513292437,2.49159796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.32968318,0.699010998,NA,1280690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,16.3489,NA,8.165253287,2.777867359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25690969,0.721862619,NA,1329640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,5.577,NA,8.173131456,3.890480124,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363361733,11.32686063,0.744391765,NA,1388170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,0,NA,8.001220154,3.148738967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.52329124,0.760052776,NA,1452610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,0,NA,8.07652817,3.444489055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84887983,0.777513677,NA,1519020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
