Year,Annual_Heatwave_GOA,Summer_250m_Temperature_GOA_Slope,Spring_Surface_Temperature_EGOA,Spring_Surface_Temperature_SEBS,Spring_Peak_Chlorophyll_Concentration_EGOA,Spring_Peak_Chlorophyll_Concentration_SEBS,Spring_Peak_Bloom_Timing_EGOA,Spring_Peak_Bloom_Timing_SEBS,Copepod Community Size EGOA Oceanic,Copepod Community Size WGOA Oceanic,Summer_Euphausiid_Abundance_Kodiak,Sablefish_Growth_YOY_Middleton_Auklets,Summer_Sablefish_CPUE_Juvenile_WGOA_EAI_ADFG,Summer_Sablefish_CPUE_Juvenile_GOA_BTS_Survey,Sablefish_Spawner_Mean_Age,Sablefish_Spawner_Age_Evenness,Summer_Sablefish_Condition_Age_4_GOA_LL_Survey,Arrowtooth_Biomass_Assessment,Sablefish_Catch_Arrowtooth_Fishery,Summer_Sablefish_Condition_Adult_GOA_LL_Survey,Sablefish_CPUE_Longline_Fishery_GOA,Sablefish_CPUE_Pot_Fishery_EBS,Sablefish_Incidental_Catch_BSAI_Fisheries,Sablefish_Incidental_Catch_GOA_Fisheries,Sablefish_Condition_Adult_GOA_Fishery,Sablefish_Condition_Adult_BSAI_Fishery,Annual_Sablefish_Real_Exvessel_Value,Annual_Sablefish_Real_Exvessel_Price
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.682755758,1.478961455,NA,-1.489785521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.874551679,1.57617988,NA,-1.515303632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.887535643,-1.165085506,NA,-1.494790465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72246505,-0.939624989,NA,-1.456905469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.257528843,-0.692826139,NA,-1.434802746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.440067039,-0.641811391,NA,-1.425687046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,0.337125233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.359886481,-0.392328968,NA,-1.402562797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,0.741225221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.130002877,-0.841203799,-0.326928686,NA,-1.34772345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,0.249798719,NA,-1.582292287,-1.153112919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.016068284,-0.231865415,NA,-1.177358088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,0.122712361,NA,-0.752141004,-0.888926603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.074402979,-0.005656342,NA,-0.949055819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,-0.15553867,NA,-0.742109616,0.137858199,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107950172,-1.018330825,0.217360538,NA,-0.686858277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,0,NA,-0.961006791,-0.546664369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.860873496,0.372389491,NA,-0.410676851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,0,NA,-0.865115993,-0.273728712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.599884094,0.545235612,NA,-0.138586529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,-0.048979755,NA,0.378627144,-0.091827488,NA,NA,NA,NA,NA,NA,NA,-0.836674459,-0.52191598,-0.273476139,-0.282668495,0.71040968,NA,0.104404779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,0,NA,-1.167150863,-0.617905932,NA,NA,NA,NA,NA,NA,NA,NA,-0.384597517,NA,0.041524788,0.400836904,NA,0.307459807,NA,NA,NA,NA,0.501821572,-2.668376076,NA,NA,NA,NA
