"","category","Year","score","nobs","final"
"1","Physical",1977,1,3,0.333333333333333
"2","Physical",1978,1,3,0.333333333333333
"3","Physical",1979,1,3,0.333333333333333
"4","Physical",1980,1,3,0.333333333333333
"5","Physical",1981,1,3,0.333333333333333
"6","Physical",1982,1,4,0.25
"7","Physical",1983,0,4,0
"8","Physical",1984,0,5,0
"9","Physical",1985,2,6,0.333333333333333
"10","Physical",1986,2,6,0.333333333333333
"11","Physical",1987,2,7,0.285714285714286
"12","Physical",1988,3,6,0.5
"13","Physical",1989,3,6,0.5
"14","Physical",1990,2,9,0.222222222222222
"15","Physical",1991,1,9,0.111111111111111
"16","Physical",1992,3,10,0.3
"17","Physical",1993,2,12,0.166666666666667
"18","Physical",1994,3,11,0.272727272727273
"19","Physical",1995,2,11,0.181818181818182
"20","Physical",1996,2,15,0.133333333333333
"21","Physical",1997,1,14,0.0714285714285714
"22","Physical",1998,1,14,0.0714285714285714
"23","Physical",1999,3,18,0.166666666666667
"24","Physical",2000,5,17,0.294117647058824
"25","Physical",2001,4,18,0.222222222222222
"26","Physical",2002,2,19,0.105263157894737
"27","Physical",2003,5,27,0.185185185185185
"28","Physical",2004,6,25,0.24
"29","Physical",2005,5,28,0.178571428571429
"30","Physical",2006,4,26,0.153846153846154
"31","Physical",2007,5,27,0.185185185185185
"32","Physical",2008,5,26,0.192307692307692
"33","Physical",2009,5,27,0.185185185185185
"34","Physical",2010,3,26,0.115384615384615
"35","Physical",2011,6,28,0.214285714285714
"36","Physical",2012,5,26,0.192307692307692
"37","Physical",2013,5,28,0.178571428571429
"38","Physical",2014,4,26,0.153846153846154
"39","Physical",2015,6,28,0.214285714285714
"40","Physical",2016,5,26,0.192307692307692
"41","Physical",2017,6,27,0.222222222222222
"42","Physical",2018,5,25,0.2
"43","Physical",2019,6,27,0.222222222222222
"44","Physical",2020,5,22,0.227272727272727
